experiment_id,model_family,model,representation,scale,condition,ambiguous,bad,good,good_minus_bad,good_minus_ambiguous,ordered_separation
claude_iupac_0_1,claude,anthropic/claude-3-haiku,iupac,0-1,claude | iupac | 0-1,0.51,0.43,0.78,0.35000000000000003,0.27,0.27
claude_smiles_0_1,claude,anthropic/claude-3-haiku,smiles,0-1,claude | smiles | 0-1,0.52,0.45,0.78,0.33,0.26,0.26
gpt_smiles_0_1,gpt,openai/gpt-4.1-nano,smiles,0-1,gpt | smiles | 0-1,0.45999999999999996,0.4,0.7,0.29999999999999993,0.24,0.24
qwen_iupac_0_1,qwen,qwen/qwen3-14b,iupac,0-1,qwen | iupac | 0-1,0.5700000000000001,0.35,0.79,0.44000000000000006,0.21999999999999997,0.21999999999999997
gpt_iupac_0_1,gpt,openai/gpt-4.1-nano,iupac,0-1,gpt | iupac | 0-1,0.45999999999999996,0.41,0.65,0.24000000000000005,0.19000000000000006,0.19000000000000006
qwen_smiles_0_1,qwen,qwen/qwen3-14b,smiles,0-1,qwen | smiles | 0-1,0.6100000000000001,0.31,0.79,0.48000000000000004,0.17999999999999994,0.17999999999999994
claude_smiles_descriptors_0_1,claude,anthropic/claude-3-haiku,smiles_descriptors,0-1,claude | smiles+descriptors | 0-1,0.63,0.6,0.54,-0.05999999999999994,-0.08999999999999997,-0.08999999999999997
qwen_smiles_descriptors_0_1,qwen,qwen/qwen3-14b,smiles_descriptors,0-1,qwen | smiles+descriptors | 0-1,0.5700000000000001,0.5349999999999999,0.47000000000000003,-0.06499999999999989,-0.10000000000000003,-0.10000000000000003
gpt_smiles_descriptors_0_1,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-1,gpt | smiles+descriptors | 0-1,0.665,0.61,0.55,-0.05999999999999994,-0.11499999999999999,-0.11499999999999999
qwen_iupac_0_10,qwen,qwen/qwen3-14b,iupac,0-10,qwen | iupac | 0-10,5.0,3.0,7.8,4.8,2.8,2.8
qwen_smiles_0_10,qwen,qwen/qwen3-14b,smiles,0-10,qwen | smiles | 0-10,4.9,3.8,7.6,3.8,2.6999999999999993,2.6999999999999993
claude_iupac_0_10,claude,anthropic/claude-3-haiku,iupac,0-10,claude | iupac | 0-10,5.9,4.5,8.1,3.5999999999999996,2.1999999999999993,2.1999999999999993
claude_smiles_0_10,claude,anthropic/claude-3-haiku,smiles,0-10,claude | smiles | 0-10,5.8,4.6,7.8,3.2,2.0,2.0
gpt_smiles_0_10,gpt,openai/gpt-4.1-nano,smiles,0-10,gpt | smiles | 0-10,5.0,3.7,6.3,2.5999999999999996,1.2999999999999998,1.2999999999999998
gpt_iupac_0_10,gpt,openai/gpt-4.1-nano,iupac,0-10,gpt | iupac | 0-10,4.2,3.3,5.4,2.1000000000000005,1.2000000000000002,1.2000000000000002
qwen_smiles_descriptors_0_10,qwen,qwen/qwen3-14b,smiles_descriptors,0-10,qwen | smiles+descriptors | 0-10,5.3,4.6,4.8,0.20000000000000018,-0.5,-0.5
gpt_smiles_descriptors_0_10,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-10,gpt | smiles+descriptors | 0-10,6.3,5.1,5.2,0.10000000000000053,-1.0999999999999996,-1.0999999999999996
claude_smiles_descriptors_0_10,claude,anthropic/claude-3-haiku,smiles_descriptors,0-10,claude | smiles+descriptors | 0-10,6.1,5.1,4.9,-0.1999999999999993,-1.1999999999999993,-1.1999999999999993
