experiment_id,model_family,model,representation,scale,n_molecules,valid_scores,mean_score,median_score,stdev_score,min_score,max_score,prompt_tokens,completion_tokens,total_tokens
gpt_smiles_0_1,gpt,openai/gpt-4.1-nano,smiles,0-1,30,30,0.52,0.6,0.26758176320519306,0.0,0.9,5173,5415,10588
gpt_smiles_0_10,gpt,openai/gpt-4.1-nano,smiles,0-10,30,30,5.0,5.0,2.1908902300206643,1.0,9.0,5176,5244,10420
gpt_iupac_0_1,gpt,openai/gpt-4.1-nano,iupac,0-1,30,30,0.5066666666666666,0.5,0.23084386257574382,0.1,0.9,6260,5385,11645
gpt_iupac_0_10,gpt,openai/gpt-4.1-nano,iupac,0-10,30,30,4.3,4.0,2.238302928559939,1.0,9.0,6263,5442,11705
gpt_smiles_descriptors_0_1,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-1,30,30,0.6083333333333335,0.725,0.21682686385429478,0.2,0.9,9781,4846,14627
gpt_smiles_descriptors_0_10,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-10,30,30,5.533333333333333,6.0,1.892675942210452,2.0,9.0,9784,4811,14595
claude_smiles_0_1,claude,anthropic/claude-3-haiku,smiles,0-1,30,30,0.5833333333333334,0.7,0.2395597814510793,0.1,0.9,5173,6196,11369
claude_smiles_0_10,claude,anthropic/claude-3-haiku,smiles,0-10,30,30,6.066666666666666,7.0,2.14372469210847,1.0,9.0,5176,6128,11304
claude_iupac_0_1,claude,anthropic/claude-3-haiku,iupac,0-1,30,30,0.5733333333333335,0.7,0.2448582356294261,0.1,0.9,6260,5435,11695
claude_iupac_0_10,claude,anthropic/claude-3-haiku,iupac,0-10,30,30,6.166666666666667,7.0,2.3676054476106354,1.0,9.0,6263,5054,11317
claude_smiles_descriptors_0_1,claude,anthropic/claude-3-haiku,smiles_descriptors,0-1,30,30,0.59,0.6,0.19382122346808842,0.1,0.9,9781,6138,15919
claude_smiles_descriptors_0_10,claude,anthropic/claude-3-haiku,smiles_descriptors,0-10,30,30,5.366666666666666,6.0,1.8526257642120338,2.0,9.0,9784,6132,15916
qwen_smiles_0_1,qwen,qwen/qwen3-14b,smiles,0-1,30,30,0.5700000000000001,0.6,0.26476404589747454,0.1,0.9,5173,10508,15681
qwen_smiles_0_10,qwen,qwen/qwen3-14b,smiles,0-10,30,30,5.433333333333334,6.0,2.6417586734766085,1.0,9.0,5176,8910,14086
qwen_iupac_0_1,qwen,qwen/qwen3-14b,iupac,0-1,30,30,0.5700000000000001,0.6499999999999999,0.2672701504720147,0.1,0.9,6260,9672,15932
qwen_iupac_0_10,qwen,qwen/qwen3-14b,iupac,0-10,30,30,5.266666666666667,5.0,2.965730189271363,1.0,9.0,6263,10858,17121
qwen_smiles_descriptors_0_1,qwen,qwen/qwen3-14b,smiles_descriptors,0-1,30,30,0.525,0.5,0.20402205763103165,0.1,0.85,9781,8223,18004
qwen_smiles_descriptors_0_10,qwen,qwen/qwen3-14b,smiles_descriptors,0-10,30,30,4.9,5.0,2.2113344387495983,1.0,9.0,9784,11424,21208
