Epoch,Reward,DockingScoreProperty,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,GlaxoProperty,n
0,7.112135692307691,-7.716923076923077,2.9431941538461537,26.49230769230769,4.676923076923077,1.523076923076923,0.1076923076923077,0.3384615384615385,65
1,7.049064999999997,-7.815625,3.5313373437499997,27.53125,4.671875,1.5625,0.109375,0.296875,64
2,7.0547156249999965,-7.734375,3.614559999999999,26.59375,4.484375,1.59375,0.078125,0.265625,64
3,7.383591230769227,-7.927692307692307,3.5033266153846148,26.353846153846153,4.230769230769231,1.8,0.07692307692307693,0.23076923076923078,65
4,7.365258437499996,-7.8828125,3.4547456249999993,27.8125,4.5625,1.6875,0.0625,0.21875,64
5,7.440415692307689,-8.133846153846154,4.027278923076922,28.123076923076923,4.6461538461538465,1.2153846153846153,0.1076923076923077,0.16923076923076924,65
6,6.827983076923074,-7.816923076923077,4.206504461538461,27.784615384615385,4.430769230769231,1.3846153846153846,0.06153846153846154,0.3076923076923077,65
7,7.372378124999997,-8.18125,4.2907546875,26.921875,3.921875,1.359375,0.078125,0.109375,64
8,7.460742499999998,-7.9734375,3.6403395312499995,25.859375,4.09375,1.84375,0.0625,0.171875,64
9,7.704877656249996,-8.3140625,4.50400828125,26.4375,3.59375,1.03125,0.015625,0.03125,64
10,7.770603124999996,-8.3828125,4.6881621875,26.125,3.9375,0.953125,0.03125,0.0625,64
11,8.350029687499998,-8.68125,4.102619531249999,27.5625,4.9375,1.078125,0.046875,0.046875,64
12,8.424248437499996,-8.73125,4.1922209375,27.484375,5.28125,1.0625,0.03125,0.046875,64
13,8.607732307692304,-8.984615384615385,4.349845538461539,28.307692307692307,5.415384615384616,1.323076923076923,0.046153846153846156,0.12307692307692308,65
14,8.739528124999998,-8.921875,4.0263515624999995,28.6875,5.46875,1.359375,0.03125,0.03125,64
15,8.715578124999997,-8.9046875,4.0730396875,28.671875,5.65625,1.109375,0.03125,0.03125,64
16,9.082389062499994,-9.215625,3.8718512499999997,30.25,6.1875,1.390625,0.0625,0.03125,64
17,9.343842656249995,-9.4859375,4.26267453125,30.46875,6.40625,1.28125,0.015625,0.015625,64
18,9.261429687499993,-9.5453125,4.64866203125,32.859375,6.390625,1.796875,0.015625,0.015625,64
19,9.61851875,-9.70625,3.93728078125,31.09375,6.71875,2.03125,0.015625,0.03125,64
20,9.670471874999986,-9.8015625,4.439559375,32.015625,6.859375,1.734375,0.0,0.0,64
21,9.842462499999993,-10.0078125,4.336515625,32.109375,7.0625,2.078125,0.0,0.015625,64
22,9.785685937499995,-9.90625,4.1938765625,31.625,7.03125,1.765625,0.0,0.0,64
23,9.899787499999995,-9.9625,3.7103593749999995,30.875,7.375,1.484375,0.015625,0.0,64
24,9.769717187499996,-9.8625,4.21304375,32.015625,7.171875,1.484375,0.015625,0.0,64
25,9.903067187499987,-10.00625,4.3711796875,31.890625,7.515625,1.328125,0.0,0.0,64
26,9.983839062499992,-10.078125,3.8658937499999997,31.140625,8.203125,1.21875,0.0,0.0,64
27,9.878389062499991,-10.0203125,4.250548125,32.046875,7.1875,1.609375,0.0,0.0,64
28,9.913414062499998,-9.9765625,3.7732734375,32.015625,7.5625,1.6875,0.0,0.015625,64
29,10.154424999999996,-10.1953125,3.49865109375,31.109375,8.046875,1.828125,0.015625,0.0,64
30,10.228514062499995,-10.3109375,3.8810531249999998,32.15625,8.078125,1.703125,0.015625,0.0,64
31,10.07012343749999,-10.1421875,4.1160796875,31.796875,7.734375,1.515625,0.0,0.015625,64
32,10.324601562499991,-10.3890625,4.0502953125,31.65625,7.53125,1.8125,0.0,0.0,64
33,10.32123640624999,-10.36875,3.8352273437499997,31.125,7.75,1.5,0.0,0.0,64
34,10.133964062499999,-10.1578125,3.7427109375,31.078125,7.1875,2.0,0.0,0.0,64
35,10.220510937499997,-10.271875,3.7516249999999998,31.171875,7.46875,1.890625,0.015625,0.0,64
36,10.17642234374999,-10.2625,4.32573546875,32.296875,7.28125,1.546875,0.0,0.0,64
37,10.043268749999985,-10.25,4.4107375,32.5625,6.4375,2.109375,0.015625,0.0,64
38,10.245942187499987,-10.3625,4.232884375,31.875,7.359375,1.640625,0.0,0.0,64
39,10.41012812499999,-10.50625,4.2016671875,31.875,7.21875,1.765625,0.0,0.0,64
40,10.330423437499986,-10.3921875,4.1352875,31.421875,7.5625,1.6875,0.0,0.0,64
41,10.199129687499983,-10.4375,4.545525,33.046875,7.25,1.953125,0.0,0.0,64
42,10.37136562499999,-10.4296875,3.9370698437500002,31.09375,7.546875,1.890625,0.0,0.0,64
43,10.306473437499992,-10.4015625,3.9826796875,31.09375,7.8125,1.4375,0.0,0.0,64
44,10.159095312499996,-10.2171875,3.911225,30.90625,7.625,1.65625,0.0,0.015625,64
45,10.384290624999993,-10.43125,3.8956996874999996,31.0625,7.859375,1.765625,0.0,0.0,64
46,10.207879687499988,-10.3734375,4.135493749999999,31.703125,7.65625,1.5,0.015625,0.0,64
47,10.304729687499993,-10.3828125,4.01439375,31.515625,7.34375,2.140625,0.0,0.0,64
48,10.515484374999991,-10.5859375,4.0237328125,31.4375,7.046875,2.3125,0.0,0.0,64
49,10.261909374999993,-10.3375,3.8694296875,31.34375,7.3125,1.84375,0.0,0.0,64
