Epoch,score,DrugLikenessProperty,DockingScoreProperty,Reward,DrugLikenessReward,DockingScoreReward,Molecules
0.0,0.4176923076923077,0.4176923076923077,-7.730769230769231,8.148461538461538,0.4176923076923077,7.730769230769231,65
1.0,0.4296875,0.4296875,-7.7828125,8.2125,0.4296875,7.7828125,64
2.0,0.44921875,0.44921875,-7.825,8.27421875,0.44921875,7.825,64
3.0,0.43846153846153846,0.43846153846153846,-7.923076923076923,8.361538461538462,0.43846153846153846,7.923076923076923,65
4.0,0.4578125,0.4578125,-7.7703125,8.228125,0.4578125,7.7703125,64
5.0,0.47461538461538466,0.47461538461538466,-8.098461538461539,8.573076923076924,0.47461538461538466,8.098461538461539,65
6.0,0.45703125,0.45703125,-7.9171875,8.44921875,0.45703125,7.9921875,64
7.0,0.4461538461538462,0.4461538461538462,-8.535384615384615,8.981538461538461,0.4461538461538462,8.535384615384615,65
8.0,0.46796875,0.46796875,-8.621875,9.08984375,0.46796875,8.621875,64
9.0,0.509375,0.509375,-8.934375,9.44375,0.509375,8.934375,64
10.0,0.4734375,0.4734375,-9.0703125,9.54375,0.4734375,9.0703125,64
11.0,0.47890625,0.47890625,-8.840625,9.31953125,0.47890625,8.840625,64
12.0,0.48359375,0.48359375,-8.90625,9.38984375,0.48359375,8.90625,64
13.0,0.4375,0.4375,-9.0484375,9.4859375,0.4375,9.0484375,64
14.0,0.48515625,0.48515625,-9.2390625,9.72421875,0.48515625,9.2390625,64
15.0,0.4671875,0.4671875,-9.3390625,9.80625,0.4671875,9.3390625,64
16.0,0.44375,0.44375,-9.5484375,9.9921875,0.44375,9.5484375,64
17.0,0.46796875,0.46796875,-9.69375,10.16171875,0.46796875,9.69375,64
18.0,0.42421875,0.42421875,-9.8453125,10.26953125,0.42421875,9.8453125,64
19.0,0.440625,0.440625,-9.725,10.165625,0.440625,9.725,64
20.0,0.42578125,0.42578125,-9.9359375,10.36171875,0.42578125,9.9359375,64
21.0,0.4171875,0.4171875,-10.046875,10.4640625,0.4171875,10.046875,64
22.0,0.4171875,0.4171875,-10.0140625,10.43125,0.4171875,10.0140625,64
23.0,0.4609375,0.4609375,-10.103125,10.5640625,0.4609375,10.103125,64
24.0,0.4359375,0.4359375,-10.0375,10.4921875,0.4359375,10.05625,64
25.0,0.43984375,0.43984375,-10.1875,10.62734375,0.43984375,10.1875,64
26.0,0.46015625,0.46015625,-9.971875,10.43203125,0.46015625,9.971875,64
27.0,0.4390625,0.4390625,-10.303125,10.7421875,0.4390625,10.303125,64
28.0,0.43671875,0.43671875,-10.3765625,10.81328125,0.43671875,10.3765625,64
29.0,0.459375,0.459375,-10.56875,11.028125,0.459375,10.56875,64
30.0,0.4359375,0.4359375,-10.3859375,10.821875,0.4359375,10.3859375,64
31.0,0.45859375,0.45859375,-10.4765625,10.93515625,0.45859375,10.4765625,64
32.0,0.45078125,0.45078125,-10.35625,10.80703125,0.45078125,10.35625,64
33.0,0.4609375,0.4609375,-10.3875,10.8484375,0.4609375,10.3875,64
34.0,0.42421875,0.42421875,-10.3171875,10.74140625,0.42421875,10.3171875,64
35.0,0.4625,0.4625,-10.6015625,11.0640625,0.4625,10.6015625,64
36.0,0.4328125,0.4328125,-10.4625,10.8953125,0.4328125,10.4625,64
37.0,0.4390625,0.4390625,-10.58125,11.0203125,0.4390625,10.58125,64
38.0,0.453125,0.453125,-10.6109375,11.0640625,0.453125,10.6109375,64
39.0,0.43671875,0.43671875,-10.465625,10.90234375,0.43671875,10.465625,64
40.0,0.43125,0.43125,-10.61875,11.05,0.43125,10.61875,64
41.0,0.46875,0.46875,-10.703125,11.171875,0.46875,10.703125,64
42.0,0.453125,0.453125,-10.5859375,11.0390625,0.453125,10.5859375,64
43.0,0.4296875,0.4296875,-10.6265625,11.05625,0.4296875,10.6265625,64
44.0,0.4203125,0.4203125,-10.796875,11.2171875,0.4203125,10.796875,64
45.0,0.3953125,0.3953125,-10.6765625,11.071875,0.3953125,10.6765625,64
46.0,0.38671875,0.38671875,-10.7171875,11.10390625,0.38671875,10.7171875,64
47.0,0.3796875,0.3796875,-10.74375,11.1234375,0.3796875,10.74375,64
48.0,0.41796875,0.41796875,-10.809375,11.22734375,0.41796875,10.809375,64
49.0,0.4171875,0.4171875,-10.8234375,11.240625,0.4171875,10.8234375,64
